id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
166,2026-05-20 16:17:18.276,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0
167,2026-05-20 16:17:18.484,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0
168,2026-05-20 16:17:18.692,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
169,2026-05-20 16:17:18.701,0,0,0,58,0,0,0,1,3,0,0,0,0,EE,8,0D
170,2026-05-20 16:17:18.909,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
171,2026-05-20 16:17:19.118,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0
172,2026-05-20 16:17:19.327,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0
173,2026-05-20 16:17:19.535,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58
174,2026-05-20 16:17:19.743,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
175,2026-05-20 16:17:19.752,0,0,58,0,0,0,1,3,0,0,0,0,E9,8,0D,0A
176,2026-05-20 16:17:19.961,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EE
177,2026-05-20 16:17:20.159,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0
178,2026-05-20 16:17:20.371,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
179,2026-05-20 16:17:20.586,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0
180,2026-05-20 16:17:20.784,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
181,2026-05-20 16:17:21.000,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
182,2026-05-20 16:17:21.012,0,0,0,0,59,0,0,0,1,3,0,0,0,0,E9,8
183,2026-05-20 16:17:21.216,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0,0,0
184,2026-05-20 16:17:21.428,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3
185,2026-05-20 16:17:21.633,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0
186,2026-05-20 16:17:21.832,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0
187,2026-05-20 16:17:22.050,59,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
